address, x, y
4001 South 700 East, 397, 457
195 W Oakland Ave, 309, 316
2530 S 500 E, 372, 320
233 Canyon Rd, 344, 57
380 W 2880 S,290,351
410 S State St, 336, 122
3060 Lester St, 171, 369
300 State St, 335, 111
600 E 900 South, 413, 139
2600 Taylorsville Blvd, 110, 593
3575 W Valley Central Station bus Loop, 67, 478
2010 W 500 S, 131, 129
4580 S 2300 E, 550, 517
3148 S 1100 W, 216, 376
1488 4800 S, 184, 547
177 W Price Ave, 310, 424
3595 Main St, 330, 420
6351 South 900 East, 422, 678
5100 South 2700 West, 102, 572
5025 State St, 339, 557
5383 South 900 East #104, 413, 594
1060 Dalton Ave S, 213, 186
2835 Main St, 327, 345
1330 2100 S, 469, 288
3365 S 900 W, 239, 397
2300 Parkway Blvd, 130, 325
4300 S 1300 E, 447, 490
